Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
67,"GROUP STAGE MATCHES","Panama","England","New York/New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET",2900,"FIFA Pavilion",USD,2900,"United States"
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET",775,"Suite Essentials",USD,775,"United States"
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT",1475,"FIFA Pavilion",USD,1475,"United States"
70,"GROUP STAGE MATCHES","Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT",2750,"Champions Club",USD,2750,"United States"
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET",6000,"Champions Club",USD,6000,"United States"
72,"GROUP STAGE MATCHES","Congo DR","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET",3200,"VIP",USD,3200,"United States"
73,"ROUND OF 32","South Africa","Canada","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT",2250,"Champions Club",USD,2250,"United States"
74,"ROUND OF 32","Germany","3ABCDF","Boston Stadium","Foxborough","United States","June 29","Monday, 4pm ET",2300,"VIP",USD,2300,"United States"
75,"ROUND OF 32","Netherlands","Morocco","Monterrey Stadium","Guadalupe","Mexico","June 29","Monday, 7pm CT",59450,"Champions Club",MXN,3387,"United States"
76,"ROUND OF 32","Brazil","Japan","Houston Stadium","Houston","United States","June 29","Monday, 12pm CT",3200,"Trophy Lounge",USD,3200,"United States"
77,"ROUND OF 32","1I","3CDFGH","New York/New Jersey Stadium","East Rutherford","United States","June 30","Tuesday, 5pm ET",3100,"FIFA Pavilion",USD,3100,"United States"
78,"ROUND OF 32","Côte d'Ivoire","2I","Dallas Stadium","Arlington","United States","June 30","Tuesday, 12pm CT",2180,"Champions Club",USD,2180,"United States"
79,"ROUND OF 32","Mexico","3CEFHI","Mexico City Stadium","Ciudad de México","Mexico","June 30","Tuesday, 7pm CT",138000,"Trophy Lounge",MXN,7863,"United States"
80,"ROUND OF 32","1L","3EHIJK","Atlanta Stadium","Atlanta","United States","July 1","Wednesday, 12pm ET",4550,"Pitchside Lounge",USD,4550,"United States"
82,"ROUND OF 32","1G","3AEHIJ","Seattle Stadium","Seattle","United States","July 1","Wednesday, 1pm PT",2570,"Trophy Lounge",USD,2570,"United States"
85,"ROUND OF 32","Switzerland","3EFGIJ","BC Place Vancouver","Vancouver","Canada","July 2","Thursday, 8pm PT",4350,"Champions Club",CAD,3063,"United States"
86,"ROUND OF 32","Argentina","2H","Miami Stadium","Miami Gardens","United States","July 3","Friday, 6pm ET",8100,"FIFA Pavilion",USD,8100,"United States"
87,"ROUND OF 32","1K","3DEIJL","Kansas City Stadium","Kansas City","United States","July 3","Friday, 8pm CT",2200,"FIFA Pavilion",USD,2200,"United States"
88,"ROUND OF 32","2D","2G","Dallas Stadium","Arlington","United States","July 3","Friday, 1pm CT",2180,"Champions Club",USD,2180,"United States"
89,"ROUND OF 16","W74","W77","Philadelphia Stadium","Philadelphia","United States","July 4","Saturday, 5pm ET",5250,"VIP",USD,5250,"United States"
90,"ROUND OF 16","W73","W75","Houston Stadium","Houston","United States","July 4","Saturday, 12pm CT",3775,"Trophy Lounge",USD,3775,"United States"
91,"ROUND OF 16","W76","W78","New York/New Jersey Stadium","East Rutherford","United States","July 5","Sunday, 4pm ET",3250,"FIFA Pavilion",USD,3250,"United States"
92,"ROUND OF 16","W79","W80","Mexico City Stadium","Ciudad de México","Mexico","July 5","Sunday, 6pm CT",95500,"FIFA Pavilion",MXN,5442,"United States"
93,"ROUND OF 16","W83","W84","Dallas Stadium","Arlington","United States","July 6","Monday, 2pm CT",4100,"Trophy Lounge",USD,4100,"United States"
94,"ROUND OF 16","W81","W82","Seattle Stadium","Seattle","United States","July 6","Monday, 5pm PT",4200,"FIFA Pavilion",USD,4200,"United States"
96,"ROUND OF 16","W85","W87","BC Place Vancouver","Vancouver","Canada","July 7","Tuesday, 1pm PT",4150,"FIFA Pavilion",CAD,2923,"United States"
97,"QUARTER-FINALS","W89","W90","Boston Stadium","Foxborough","United States","July 9","Thursday, 4pm ET",6900,"Pitchside Lounge",USD,6900,"United States"
98,"QUARTER-FINALS","W93","W94","Los Angeles Stadium","Inglewood","United States","July 10","Friday, 12pm PT",4700,"Champions Club",USD,4700,"United States"
99,"QUARTER-FINALS","W91","W92","Miami Stadium","Miami Gardens","United States","July 11","Saturday, 5pm ET",5800,"Trophy Lounge",USD,5800,"United States"
101,"SEMI-FINALS","W97","W98","Dallas Stadium","Arlington","United States","July 14","Tuesday, 2pm CT",8850,"Trophy Lounge",USD,8850,"United States"
102,"SEMI-FINALS","W99","W100","Atlanta Stadium","Atlanta","United States","July 15","Wednesday, 3pm ET",14300,"Pitchside Lounge",USD,14300,"United States"
103,"BRONZE FINAL","BRONZE","FIXTURE","Miami Stadium","Miami Gardens","United States","July 18","Saturday, 5pm ET",2800,"Champions Club",USD,2800,"United States"
104,"","FINAL","FIXTURE","New York/New Jersey Stadium","East Rutherford","United States","July 19","Sunday, 3pm ET",19000,"FIFA Pavilion",USD,19000,"United States"
